book_id,book_listing,book_author,book_title,book_publisher,book_place,book_year,book_edition,book_size,book_condition,book_notes,book_directory
1614,The Hundred Glories of French Cooking,"Courtine, Robert",The Hundred Glories of French Cooking,"Farrar, Strauss, & Giroux","New York, NY",1973,,,,,
1615,Japonisme Japanese Influence of French Art 1854-1910,"Weisberg, Gabriel",Japonisme Japanese Influence of French Art 1854-1910,The Cleveland Museum of Art,"Cleveland, OH",1975,,,,,
1616,The Nickell (magazine),None,The Nickell (magazine),,"Boston, MA",November 1896,,,,"Bicycles, The Art of Greece, Hunting in Maine, Actresses",
1617,The Nickell (magazine),None,The Nickell (magazine),,"Boston, MA",November 1896,,,,"Bicycles, The Art of Greece, Hunting in Maine, Actresses",
1618,Rembrandt after Three Hundred Years: An Exhibition of Rembrandt and His Followers,"Haverkamp-Begemann, E. (intro.)",Rembrandt after Three Hundred Years: An Exhibition of Rembrandt and His Followers,Art Institute of Chicago,"Chicago, IL",1969,,,,,
1619,"Grant Wood: The Lithographs, A Catalogue Raisonne.","Cole, Sylvan, Jr.","Grant Wood: The Lithographs, A Catalogue Raisonne.",Associated American Artists,"New York, NY",1984,,,,Signed by author,
1620,Auguste Lepere,"Cary, Elisabeth Luther",Auguste Lepere,Frederick Keppel & Co.,"New York, NY",1914,,,,,
1621,Contemporary Art in Czechoslovakia,"Lamac, Miroslav",Contemporary Art in Czechoslovakia,Orbis,"Prague, Czechoslovakia",1987,,,,,
1622,Cercle Graphique Europeen,None,Cercle Graphique Europeen,,Ultrecht,1971,Publication 1,,,,
1623,Villon -- Paintings,"Cogniat, Raymond",Villon -- Paintings -- (Petite Encyclopedie de l' Art),Tudor Publishing Co.,"New York, NY",1963,,,,,
1624,Biennale Internationale de la Gravure Cracovie 1966,None,Biennale Internationale de la Gravure Cracovie 1966,,"Cracow, Poland",1972,,,,,
1625,The Art Quarterly (1943),None,The Art Quarterly,Detroit Institute of Arts,Detroit MI,1943,,,,1) 4th c. Greek Head (O. Brendal)2)  Rembrandt (O. Benesch)3)  Early City Plans for Detroit (B. Pickens),
1626,Toulouse-Lautrec Master of Graphic Art,None,Toulouse-Lautrec Master of Graphic Art,R. S. Johnson International,"Chicago, IL",1979,,,,,
1627,Little Journeys to Homes of Great Lovers.,"Hubbard, Elbert",Little Journeys to Homes of Great Lovers.,The Roycrofters,"East Aurora, NY",1906,Vol. XIX,,,,
1628,Auguste Lepere 1849-1918,"Vital, Christophe",Auguste Lepere 1849-1918,"ACL Edition/Societe Crocus,",Aint-S?bastien,1988,,,,,
1629,I Was On My Way Up The Stairs To See You,"Buescher, Jean",I Was On My Way Up The Stairs To See You,Digger Pine Press,"Berkeley, CA",2000,9/135,,,"Signed by the author and the calligrapher, Nancy Leavitt",
1630,Augustus John: Early Drawings and Etchings,None,Augustus John: Early Drawings and Etchings,P.& D. Colnaghi,"London, England",1974,,,,,
1631,"Jacques Villon, Master of Graphic Art.",None,"Jacques Villon, Master of Graphic Art.",International Galleries,"Chicago, IL",1967,,,,,
1632,Homage to Jacques Villon 1875-1963,None,Homage to Jacques Villon 1875-1963,R. S. Johnson International Gallery,"Chicago, IL",1975,,,,2 copies,
1633,Masters of Contemporary Art in Poland.,"Leavitt, Thomas W. & Cynthia Wayne",Masters of Contemporary Art in Poland.,Cornell,"Ithaca, NY",1986,,,,,
1634,"AUDIENCE : January, 1971, Volume 1, Number 1","Hill, Tim, ed.",Audience,Hill Publishing Co.,"Boston, MA","January, 1971","Vol. 1, No. 1",,,"N. Algren, T. Meehan cover, endpapers:  Glaser, Chwast2 stories by I. B. SingerPorfolio of photos:  Dennis Stock",
1635,The Spirit Of New Berlin In Painting And Sculpture,None,The Spirit Of New Berlin In Painting And Sculpture,,"Berlin, Germany",1964,,,,,
1636,Audience,"Hill, Tim, ed.",Audience,Hill Publishing Co,"Boston, MA",1972,,,,"John Gardner, S. Steinberg, E. Sorel, Hershey (PA), Ill:  Chwast, GlaserPhoto Portfolio:  R Olsenius",
1637,Egypt: Day & NIght,"Achepol, Keith",Egypt: Day & NIght,,,1981,,,,,
1638,High Bridge,"Schanilec, Gaylord",High Bridge,Midnight Paper Sales Press,"St. Paul, MN",1987,,,,,
1639,High Bridge,"Schanilec, Gaylord",High Bridge,Midnight Paper Sales Press,"St. Paul, MN",1987,,,,,
1640,Along the Nile to Nubia,"Roberts, David",Along the Nile to Nubia:19th century prints from the collection of Peter M. Wege.,Grand Rapids Art Museum,"Grand Rapids, MI",1988,,,,,
1641,"Dessins, Estampes Anciennes, Estampes Originales.",None,"Dessins, Estampes Anciennes, Estampes Originales.",Paul Proute S. A.,"Paris, FR",1976,,,,,
1642,William Larkins. Etchings of the East End in the 1920s & Other Scenes.,"Cooke, Gordon",William Larkins. Etchings of the East End in the 1920s & Other Scenes.,.Robin Garton,"London, England",1979,,,,,
