book_id,book_listing,book_author,book_title,book_publisher,book_place,book_year,book_edition,book_size,book_condition,book_notes,book_directory
1,,,"The American Printer, Vol",,,1928,,,good,,
6,"Bellange, Hippolyte",None,Hippolyte Bellange et son,Quantin,,1880,,,New cloth bound hard cover,,
14,Woodblock [Wood-Block] Printing,"Fletcher, F. Morley",Woodblock [Wood-Block] Printing (The Artistic Crafts Series of Technical Handbooks),Sir Isaac Pitman & Son,London,1916,,,,,
18,"Chagall, Marc",Arabische Nachte,Marc Chagall 26 Lithograp,"R.Piper & Co,",,1956,,,,,
22,Early Christian to Medieval Painting,"Volpe, Carlo",Early Christian to Medieval Painting (Art of the Western World,Golden Press,New York,1963,,,,,
23,Decouverte de la Peinture,"Berger, Rene",Decouverte de la Peinture,La Guilde du Livre Lausanne,"Lausanne, Switizerland",1958,,,,,
37,History of prints,Ferdinando Salamon,The history of prints,American Herit,NY,1972,,,very good condition,,
40,Hollywood,Otis Art Institute of L.A. County,Hollywood Collects catalo,,,1970,,,,,
41,"Hundertwasser, Friedrich",,Hundertwasser Landau Fine,,,,,,fine condition,,
46,Jugend Magazine,,"Compendium of German, Aus",,Munich,1909,,,fine,,
47,American Etchers Vol VII,"Burr, Elbert","American Etchers, Vol. VII",The Crafton Co,New York,,,,,,
53,"Lozowick, Louis",Janet Flint,The Prints of Louis Lozow,Hudson Hills P,New York,1982,,,New,,
55,"Marc, Franz",Botschaften An Den Prinzen Jussuff,Franz Marc,Piper-Bucherei,,1962,,,,,
58,"Masereel, Frans","Frans Masereel, Carl Stenheim",Chronik,Drei Masken Verlag,Munich,1922,XXIII/XXX; ed.30 on Japan,,,,
59,"Matisse, Henri",Centre Georges Pompidou,Henri Matisse 1904-1917,exhibition cat,"150 color plates, 524 pp",1993,,,soft cover creased otherw,,
62,"Nesch, Rolf","Intro. Alfred Hentzen, trans. Hans Rosenwald",Rolf Nesch,Universe book,NY,,,,,,
68,"Remington, Frederick",Peter Hassrick,"Frederick Remington: Paintings, drawings & sculptures in the Amon Carter Museum and the Sid W. Richardson Foundation Collections",Abrams,,1973,,,,,
69,"Renard, Jules","Jules Renard, Lithographs by Walter Stein",Natural History,Harvard Colleg,,1960,one of 600 copies; leathe,oblong 8to,fine,,
70,"Richter, Ludwig",D. Paul Mohn,Ludwig Richter,Velhagen & Kla,Bielefeld,1896,,,,,
74,"Shahn, Ben",Bernarda Bryson Shahn,Ben Shahn,Abrams,New York,1972,,,New,,
76,Sistine Chapel,D. Redig De Campos,The Sistine Chapel,Raynal,New York,,,,good condition,,
86,"Warhol, Andy",ed. Frayda Feldman...,"Andy Warhol Prints, Catal",Ronald Feldman,,1985,,,"as new, with dust jacket",,
87,"Warhol, Andy","Kurt benirschke (text), art Andy Warhol",Vanishing Animals,Spenger-Verlag,,,,,"fine, with dust jacket",,
92,"Whistler, James McNeill",Ronald Anderson & Anne Koval,Beyond the Myth; James Mc,Carroll & Graf,New York,1995,,,New,,
93,"Whistler, James McNeill",Lisa N. Peters,James McNeill Whistler,Smithmark,New York,1996,,,New,,
2,Archiv fur Buchgewerbe,,Archiv Fur Buchgewerbe,,Leipzig,1914,"Vol.5, No.51",,,issue celebrating the great Leipzig book fair of 1914; 40 photographs; other issues available upon request,
3,Art News,,"Art News, Annual Christmas Edition, Part II, 50 ye",,,11/1/195,,,,"articles by Malraux, Dorival, Hess;abour Ingres; Rembrandt (Slive), Fauves; other issues available on request",
4,Artist & the Book,,The Artist & the Book 1860-1960,Museum of Fine Arts,Boston,,First Edition,,"Slipcase worn, hardcover & interior very good",ex-libris Arnold & Karen Klein,
5,Atlantic Monthly,,The Atlantic Monthly,,,6/14/200,,,,"articles by Ralph Pulitzer, H.S. Canby, John Galsworthy et.al",
7,"Benton, Thomas Hart","Lynn Riggs, illustrations by Thomas Hart Benton",Green Grow the Lilacs (Source of,University of  Oklahoma Press,,1954,1119/1500,,fine,in slipcase; signed by the artist,
8,"Berman, Eugene",Eugene Berman,Imaginary Promenades in Italy,Pantheon Books,NY,1956,120/850,,,"signed in ink; cloth spine, heavy boards, slipcase",
10,"Bonnard, Pierre",Paul Verlaine,Bonnard illustrations Reproduction of Parallelement,Les Peintres du Livre,Paris,1960s,Editions LCL 1599/3000,,fine condition,slipcase,
11,"Braque, Georges",Andre Sauret,Braque Lithographe,Mourlot,,1963,3049/4125,,original glassine tattered,"color lithograph covers, frontispiece, title page decoration; 146 color plates; softcover; cardboard slipcase",
13,Broom Magazine,,Broom Magazine Vol. 4 No. 3,,,2/23/200,,,,"cover: woodcut by El Lissitzky; contents: art, poetry, essays by Grosz, Cowley et.al",
15,"Calder, Alexander",Richard Wilbur illustrated by Alexander Calder,A Bestiary,Spiral Press for Pantheon Books,NY,1955,,4vo,fine condition (tattered original glassine),signed in ink by author and artist; slipcase,
16,"Chagall, Marc",Franz Meyers,Marc Chagall,Abrams,New York,1963,,,bottom of spine creased,775pp  Signed and numbered,
20,Das Deutsche Lichtbild,Bruno Schultz,Das Deutsche Lichtbild 1935,,Berlin,1934,,,,"forward by Graf Von Santeul; photographs by A. Eisenstaedt, Herbert Hoffmann; 128 full page photographs",
21,Das Kestnerbuch,,Das Kestnerbuch,,,1919,,,,"12 original prints; woodcuts: Heckel, Plunnecke, Viegener, Barlach, Feininger, Schwitters; Lithographs: Unold, Seewald, Felixmuller, Gleichmann, Klee, Burchartz;Leather bound",
24,"Degas, Edgar","Mauclair, Camille",Degas,Hyperion Press 1937,Paris,,,,"linen cover worn, interior fine",tipped in color plates; one of the earliest books on Degas and his critics,
26,Derriere le Miroir,,"Derriere le Miroir, Chagall issue",Maeght,Paris,Mar.-Apr,Nos. 27-28,,fine condition,"in French, texts by Venturi, Wahl, poem by Cendrars; color lithographs by Chagall cover and centerfold, 11 pp. scarce",
27,Documenta,,Documenta (Art of the 20th Century),Prestel,Munich,1955,,,back cover crease & tape residue,soft cover,
28,Du,,"Du, Picasso and the corrida issue",Verlag Conzett & Huber,Zurich,Aug. 195,,,"good condition, pages rippled on top right, slight","in German with summary in english summary first 2 pp., Picasso Tauromachia issue.  Texts by Cocteau, de Montherlant, Geiser, Althaus.  Color and b/w illustrations; (color photo of sculpture of bull by Picasso) . 80pp. other issues available on request",
29,Du,,Cultural Monthly in German,Conzett & Huber,Zurich,Oct. 195,,,"v.g., top of spine worn","summary in English; Burgundy issue; Autun Cathedral, etc.",
30,Du,,Cultural Monthly in German,Conzett & Huber,Zurich,Feb. 196,,,fine condition,"summary in English first 2 pp.; Contents:  photos by Lucien Clergue, sculptor Robert Muller, Shrovetide Carnival in Basel, Swiss musicians",
32,"Dubuffet, Jean",MOMA,Jean Dubuffet Edifices,,NY,1968,,,fine condition,paperback,
33,Fine Prints,"Wedmore, Frederick",Fine Prints,John Grant,Edinburgh,1910,,8vo,,"chapter on Whistler and Haden; t.e.g; ex libris BM Comerford, signed",
34,Fortune (Magazine),,Fortune (Magazine),,,November,,,very good,"Features Du Pont Family, Salt, Public service of New Jersey, The Junior League; cover by Roger Duvoisin; great ads; 214 pages; other Fortune Magazines from the 1930s available, please inquire",
36,"Hamerton , Philip G.",Philip Gilbert Hamerton,Etchings & Etchers,Macmillan,London,1880,3rd ed. complete with original e,,very good condition,"hard cover, 1/4 leather",
42,"Huttinger, Edouard",,La Peinture Hollandaise,La Guilde du Livre,Lausanne,1956,,,"Dust Jacket worn, good condition",ex-libris Arnold and Karen Klein,
43,International Studio,,International Studio,,New York,,"Vol 26, No. 102",,very good condition,"Lalique Jewelery, The Albright Art Gallery, Buffalo, Art Students League, Rochester Atheneum; other International Studio Magazines available",
44,"Irving, Washington",Washington Irving,The Legend of Sleepy Hollow,Cheshire House,NY,1931,281/1200,,,illustrated with original etchings by Bernhadt Wall,
45,"Johns, Jasper",Max Kozloff,Jasper Johns,Abrams,NY,1967,,,fine condition,143 illustrations including 41 hand tipped plates in full color,
48,La Peinture Venitienne,Edouard Huttinger,La Peinture Venitienne,La Guilde du Livre,Lusanne,1959,,,,cloth boards,
50,"LeWitt, Sol",,Sol LeWitt 15 double combinations of 6 geometric forms,"Parasol Press, Crown Point Press",Oakland Press CA,1977,17/25,6 1/2in x 6 1/2in,,each print signed and numbered on verso,
51,Life (Magazine),,Life (Magazine),,,,,,"fair condition, bent corners, foxing on cover","Multiple Issues:6/1/1957--Notable modern buildings (including Northland Shopping Center, Southfield, MI), color photos of Marilyn Monroe     12/26/1960--25 Years of Life, special double issue, Silver Anniversary     12/9/1957 Nixon & Hagerty press talk ",
52,"Lockwood, George",Bernard Bockes; color woodcuts by George Lockwood,16 Poems,Impressions Workshop,Boston,1965,69/150,,fine,each woodcut signed by artist & book signed by artist and poet; slipcase,
54,"Lunois, Alexandre",Edouard Andre,Alexandre Lunois,Floury,Paris,1914,"Edition de luxe, limited with or",,,clamshell box,
57,"Masereel, Frans",Frans Masereel,Die Stadt 100 woodcuts,Johannes Asmus Verlag,Hamburg,1961,2nd edition; ed. 90/100,,,"original woodcuts, one signed; hard back vellum spine",
60,"Matsubara, Naoko",text by Sinclair Hitchings,Boston Impressions woodcuts by Naoko Matsubara,0,Barre,1970,special ed. of 350,,slipcase not perfect,"one original signed print; hardcover, 64pp",
61,"Musper, H.Th.",H.Th. Musper,Der Holzschnitt in funf Jahrhunderten,Kohlhammer,Stuttgart,1964,,,very good,"ex-libris Arnold & Karen Klein, 400 pp",
63,Norwich School,ed.Geoffrey Holme,The Norwich School,The Studio,London,1920,,,"Spine worn, interior very good","represents artists: John Crome, John Sell Cotman",
65,"Picasso, Pablo",0,Pablo Picasso La Chevre-Feuille (Geo. Hugnet),,Paris,1943,459/525,11 1/8in x 9in,,6 etchings printed by current typographical methods; paperbound,
66,Poster,,The Poster (National Journal of Outdoor Advertisin,7/29/2004,,,"Vol. XX, No. 7",,,"French summer resort posters, Otis Shepard, Clarence Underwood, Chesterfield cigarette sign",
67,The Second Book of Rookwood Pottery,"Peck, Herbert",The Second Book of Rookwood Pottery,Author,"Tuscon, AZ",1985,,,,,
71,"Rouault, Georges",Pierre Courthion,Georges Rouault,Abrams,New York,1961,,,very good condition,489 pp,
72,"Samaras, Lucas",Lucas Samaras Sketchbook,Lucas Samaras,,,1987,ed. 2400 (issued at $95),,as new,copper-gold paper covered boards & matching slipcase,
73,Sculpture of Black Africa,Roy Sieber,Sculpture of Black Africa: The Paul Tishman Collec,LA County Museum of Art,USA,1968,,,good condition,pencil scroll inside front cover,
75,"Sintenis, Renee",,Renee Sintenis Etchings,,,1956,226/500,,,signed,
77,Theatre Arts Monthly,,Theatre Arts Monthly,,,4/1/1932,,,,"Norman Bel Geddes (Project for a Mass Theatre), Diego Rivera (Designs for Ballet), Jo Mielziner (Stage Designs)",
78,"Tissot, James",,"Tissot, illustrated Old Testament, Vol. II",,,,,,,"leather front cover disbound, a.e.g.",
79,"Toulouse-Lautrec, Henri de",Douglas Cooper,"Toulouse-Lautrec, Henri de",Abrams,New York,1966,,,good condition,50 reproductions in full color,
80,Verve,,"Verve, An Artistic and Literary Quarterly",,,1939,"No. 4, Jan.-Mar.",,spine worn off; two corners of covers creased; int,"Director E. Teriade, printed in Paris, in English, articles by Valery, Reverdy, Bataille, Vollard, Rouault, Lorca, Sartre; heliogravure illuminations; color lithographs by Matisse (""The Dance""), Derain (""The Garden of Allah""), printed by Mourlot; covers designed by Georges Rouault",
81,Verve,,"Verve, An Artistic and Literary Quarterly",,,1940,"No. 8, Vol. 2, Sept.-Nov.",,"front cover detached, edges worn, paper loss back","(completed a few days before the occupation of Paris, ""more than half the copies have been lost""), in English, texts by Rouault, Valery, Reverdy, Braque, Malraux; heliogravure illuminations; double page color lithograph by Pierre Bonnard (printed by Mourlot); calendar illustrated by Andre Derain; covers by Henri Matisse",
82,"Villon, Jacques",Pierre Beres,Jacques Villon Cent croquis 1894-1904,,Paris,1959,,,,reproduction of 100 watercolors in original sizes,
83,"Von Seidlitz, Woldermar",Woldermar Von Seidlitz,Geschichte des Japanischen Farbenholzschnitts,Wolfgang Jess,Dresden,1923,4th ed.,,spine worn,marbled board cover,
84,"Warhol, Andy",Andy Warhol,Wild Raspberries with Suzie Frankfurt,"Little, Brown, Boston...",,1997,1st ed.,,as new,hardcover; printed yellow wraparound,
85,"Warhol, Andy",ed. Jennifer Doyle...,Pop Out Queer Warhol,"Duke University Press, Durham, 1996",London,,,,as new,softcover; 280pp.,
88,"Warhol, Andy","Candy Darling, Andy Warhol superstar","My Face for the World to See: The Diaries, Letters",Hardy Marks,Honululu,1997,,,as new,"128 pp., pink board with clasp & key",
89,"Warhol, Andy",Klaus Honnef,Warhol: Commerce into Art,"Taschen, Koln, London... 2000",,,,,as new,"slick softback (Elvis on front cover), 96 pp.",
90,"Warhol, Andy",Mark Francis...,"Andy Warhol Drawings, 1942-1987","Little, Brown","Boston, New York",1998,1st US ed.,,"as new, with dust jacket","folio, 319pp.",
91,"Warhol, Andy",Riva Castleman,The Prints of Andy Warhol,Fondation Cartier,Flammarion,1990,,,as new,"30 large color plates; folio, 127 pp., softcover",
94,"Wyeth, Andrew",Betsy J. Wyeth,Wyeth at Kuerners,Houghton Mifflin Company,Boston,1976,,oblong 4to,very good condition with slipcase,324 pp,
95,Marivaux,Marivaux; intro. By D. Aury,Le Paysan Parvenu,Guilde du Livre,Lausanne,1949,5000,,head of spine worn,607 pp,
96,How I Won the War (SOLD) -- Beatles,Patrick Ryan,How I Won the War (SOLD):  Beatles,Ballantyne paperback,,,Aug.1967; 1st printing,,very good,"film from this novel starred John Lennon, photo covers",
97,Beatles,Tony Jasper,Paul McCartney and Wings,Chartwell,"Secaucus, NJ",1977,1st ed.,12in x 9 1/4in,slightly rubbed top and bottom edges; back cover o,"over 100 ill. in black and white, picture boards",
99,"Dean, James","Dalton, David","James Dean, The Mutant King",Straight Arrow,San Francisco,1974,,,"fine, with dust jacket",hard cover,
100,"Dean, James",Joe Hyams,"James Dean, Little Boy Lost",Warner Books,,1992,1st ed.,8vo,"fine in fine d.j., as new, immaculate","294 pp., 16 pp. photos, hardbound,",
101,"Dean, James",Donald Spoto,"Rebel, the Life and Legend of James Dean",Harper Collins,New York,1996,1st ed.,,"as new, black remainder slight stripe bottom edge","black cloth, grey boards; 306 pp., 28 pp. photos, first complete fully documented biography",
102,"Dean, James",Sanford Roth,The James Dean Address Book,Pomegranate Books,"Corte Madero, CA",1986,,,as new,"All photographs are of James Dean by Sanford Roth, his principal photographer",
104,"Springsteen, Bruce",Eliot Marc,"Down Thunder Road, The Making of Bruce Springsteen",Simon & Schuster,NY,1992,,,good,93 pp.,
105,"Klein, Arnold","Arnold Klein, illustrations by Karen Anne Klein",The Lemmies,First Page Publications,"Livonia, Michigan",2005,,,new,40 pp.,lemmies
106,"Klein, Karen Anne",Karen Anne Klein,Fern,Chicken in a Snowstorm Press,Michigan,2005,100,6.5in x 6.5in,new,One of a botanical series of small books with envelopes. Each one looks at a specific plant. The challenge of this annual endeavor is to retain the same format but introduce something unique. The printing process is photocopy. One of the pages is an original cyanotype.,fern
107,"Klein, Karen Anne",Karen Anne Klein,Bebb,Chicken in a Snowstorm Press,Michigan,1999,100,6.5n x 6.5in,new,"One of a botanical series of small books with envelopes. Each one looks at a specific plant. The challenge of this annual endeavor is to retain the same format but introduce something unique. The printing process is photocopy with pochoir, hand coloring and collage.  Photographs are all original. Special papers include urban metal, translucent vellum and transparent film.",bebb
108,"Klein, Karen Anne",Karen Anne Klein,Fabaecae (Palo Verde),Chicken in a Snowstorm Press,Michigan,2001,100,6.5in x 6.5in,new,One of a botanical series of small books with envelopes. Each one looks at a specific plant. The challenge of this annual endeavor is to retain the same format but introduce something unique. The printing process is photocopy with pochoir done with pastel. The photographs are all original.,palo_verde
109,"Klein, Karen Anne",Karen Anne Klein,Sycamore,Chicken in a Snowstorm Press,Michigan,2000,100,6.5 x 6.5,new,"One of a botanical series of small books with envelopes. Each one looks at a specific plant. The challenge of this annual endeavor is to retain the same format.  The printing process is photocopy.  All photographs are original.  The image on the envelope is a leaf print, actual size. Sewn to one page is a pounded leaf print on cotton.",sycamore
685,"Klein, Karen Anne","Klein, Karen Anne",The Great Serpent Mound,Chicken in a Snowstorm Press,Michigan,2008,12,8.5in x 10.25in,new,"The world's largest effigy is a mound located on a promontory in southern Ohio. The aerial photographs of the Great Serpent were taken in 1934 by Dache M. Reeves and are reproduced courtesy of the Smithsonian Institution.  All other photographs are original. The printing process is photocopy with pochoir, color pencil and collage.  The covers are unique, done with spray paint, stencils and grass.",great_serpent_mound
110,"Klein, Karen Anne",Karen Anne Klein,Plamacae,Chicken in a Snowstorm Press,Michigan,2003,100,6.5in x 6.5in,new,One of a botanical series of small books with envelopes. Each one looks at a specific plant. The challenge of this annual endeavor is to retain the same format but introduce something unique. The printing process is photocopy with hand coloring and collage.  Two foldouts read on both sides. All photographs are original. Special papers include stardream metallics.,plamacae
111,"Klein, Karen Anne",Karen Anne Klein,Cabbage,Chicken in a Snowstorm Press,Michigan,2004,100,6.5in x 6.5in,new,"One of a botanical series of small books with envelopes. Each one looks at a specific plant. The challenge of this annual endeavor is to retain the same format but introduce something unique. The printing process is photocopy with pochoir, hand coloring and collage.  All photographs are original. Special papers include stardream metallics.",cabbage
112,"Klein, Karen Anne",Karen Anne Klein,White Garden,Chicken in a Snowstorm Press,Michigan,2005,40,6in x 6in,new,A tribute to the all white garden through original photographs made into collages.  The printing process is photocopy. A tribute to the white garden.  The printing process is photocopy.  Images are photo collage using original photographs.  Papers are opalescent.,white_garden
113,"Klein, Karen Anne",Karen Anne Klein,Colours,Chicken in a Snowstorm Press,Michigan,2003,100,9in x 6in,new,"Quotations from my favorite artists concerning color. The illustrations are photographs of a series of my drawings. The book was produced to accompany a show of my work at the Muskegon Museum of Art, Muskegon, Michigan.",colour
114,"Klein, Karen Anne",Karen Anne Klein,Earth Air Fire Water,Chicken in a Snowstorm Press,Michigan,1998,300,5.75in x  7.5in,new,"A book with text concerning the 4 elements and photographs of my drawings that coordinate. This book accompanied a retrospective show of my work at the Meadow Brook Gallery, Oakland University, Rochester, Michigan.",elements
115,"Klein, Karen Anne",Karen Anne Klein,Pond,Chicken in a Snowstorm Press,Michigan,1999,18,11.5in x 9in,new,"This book is a journey through the air and into a pond. It begins in the sky with a bird and falls from there past the water margin, through the surface of the water, deeper and deeper until it comes to rest with the organisms that live in the very bottom.The printing process is photocopy with pochoir, watercolor, color pencil and collage. Photographs and drawings are original. Special papers include ogura, ogura lace, Ingres, confetti ad translucent vellum. Covers are unique.  Each has a watercolor and was dipped in polyurethane.",pond
116,,,Barrett's Clothes,Chicken in a Snowstorm Press,Michigan,2000,20 (2 available),9in x 6in,new,In honor of Barrett Klein who has unusual taste in clothing and the personality to amuse everyone who comes in contact with him. The printing process is photocopy with color pencil and watercolor.  Special papers are holographic and Spanish dots.,barretts_clothes
117,"Klein, Karen Anne",Karen Anne Klein,Wait Wait,Chicken in a Snowstorm Press,Michigan,1997,14,9in x 6in,new,"Umberto Eco was quoted in the NY Times as wanting to have on his tombstone a quote from an early Italian writer, 'Wait. Wait. I can not.' To describe this feeling of inevitable translation from youth to death, I have used a group of tulips. The first is dense color and is on heavy paper. Each following tulip is lighter in color and is on lighter and lighter weight paper until the final tulip is simply a ghost.The printing process is photocopy, with woodcuts, pochoir and pencil rubbing.  Special papers include mulberry, sekishu, silk tissue and Okawara. Each cover is a unique piece of paste paper.",wait_wait
118,"Klein, Karen Anne",Karen Anne Klein,Lactuca,Chicken in a Snowstorm Press,Michigan,1996,25,9in x 6in,new,"An eccentric history of lettuce from ancient times to today. The printing process is photocopy with woodcuts, pochoir, hand rubbings of wood blocks and color pencil.  All photographs are original.  Special papers include Indian rag with inclusions of algae, rice and straw, unryu crinkled and vellum. The cover is handmade cotton with lettuce seed inclusions and lettuce leaf watermark.",lactuca
119,"Klein, Karen Anne",Karen Anne Klein,Crypsis,Chicken in a Snowstorm Press,Michigan,1995,24,8in x 6.5in,new,"Aspects of camouflage described by words and images. The printing process is photocopy with pochoir, rubber stamps and spatter paint. Cloth pages are linen and silk organza.  Special papers include acetate, Twinrocker, glassine, kinwashi, Thai unryu and algae rag.",crypsis
120,"Klein, Karen Anne",Karen Anne Klein,Flight,Chicken in a Snowstorm Press,Michigan,1998,25 (1 available),11in x 8.75in,new,"A collaborative effort. Different artists, poets, scientists and a dancer were asked to describe something to do with the subject of flight. The printing process is photocopy and offset lithography with pochoir, hand coloring and collage.  One page is hand drawn on notebook paper.  Another has vacu-formed acetate insect wings. A fish is printed in 3 colors. Special papers include kinwashi,Ingres, translucent vellum, acetate,shadow calligraphy and silver vellum. One artist included an extra printed sheet with stickers and instructions on how to fold a paper airplane.  The covers of the book are handmade cotton paper with inclusions of bits from the garden and feathers.  The paper was waxed and then glued to a rag base.",flight
121,"Klein, Karen Anne",Karen Anne Klein,Jhargram,Chicken in a Snowstorm Press,Michigan,2001,24 (2 available),9in x 6in,new,"A walk through the village in India where the parents of our daughter-in-law live. The images are collages of original photographs, papers and textiles. The printing process is photocopy with pochoir and hand coloring.  The end sheets are fabric from a Bengali sari.  The covers are covered with hand screened Indian paper.",jargram
122,"Klein, Karen Anne",Karen Anne Klein,Xero,Chicken in a Snowstorm Press,Michigan,2000,25,8.5in x 11in,new,"A story of the desert from a sunrise to another sunrise on the following day, each hour with its own page. Each page is a different paper whose color has something to do with the intensity of the light. Each image is suitable to what might be happening at that time of day.The printing process is photocopy with pochoir.  Handwork includes acrylic, color pencil, gouache, aquerelle sticks and pastel.  Special papers include Thai tissue, recycled with coffeebean chaff, recycled with garlic skins, Ingres, lokta, translucent vellum, acetate and urban metallics.  The cover is handmade Himalayan mounted on rag with a sun and moon built out of plaster and hand leafed in gold or aluminum.",xero
123,"Klein, Karen Anne",Karen Anne Klein,28 x 13 + 1,Chicken in a Snowstorm Press,Michigan,2003,30,11.5in x 8.75,new,"Robert Graves wrote about the ancient Druidical alphabet consisting of 13 consonants. Each of these letters also represented a lunar month. Each month and the extra day, the winter solstice, was represented by a tree. Each tree in this project has a chapter of 5 pages. The beginning page gives the information about the letter and contains a quote specifically about the tree. This is followed by a poem, by one of 14 different poets, and a minor illustration. The final 2 pages have images of the leaf of the tree and a major illustration. Each chapter is under this format but is unique in terms of its materials and visual concept.The printing process is photocopy with pochoir, photocopy transfer and letterpress. Handwork is in color penil, pastel, spray acryllic, glitter glue, sewing and collage.  Special papers include book cloth, mica, super metallics, lokta, lami-li, mi-teines, translucent vellum, acetate, hanji natural, Ingres and Indian text.  Binding is coptic stitch.",28x13_plus_1
124,"Albers, Josef",Brenda Danilowitz,"The Prints of Josef Albers, a",Hudson Hills Press,NY,2001,,12 x 9,as new,"foreword by Nicholas Fox Weber; 215 pp., hardcover (black cloth with redletters), d.j.",
125,"Antreasian, Garo","Krause, Martin","Antreasian, Garo: Written on Stone, Prints 1940-1995",Indianapolis Museum of Art,,1995,,13 x 9,as new,"171 pp., hardbound, dust jacket",
126,Some Masters of Lithography,Paul Proute,Some Masters of Lithography,D. Appleton and Company,"New York, NY",1897,,,,,
127,Modern Painters & Sculptors as Illustrators,"Wheeler, Monroe (ed.)",Modern Painters & Sculptors as Illustrators,Museum of Modern Art,"New York, NY",1946,,,,,
1233,Artist's Proof the Annual of Prints and Printmaking Volume X (10),"Eichenberg, Fritz",Artist's Proof the Annual of Prints and Printmaking Volume X (10),The Pratt Graphic Art Center,"New York, NY",1966,,,,,
128,"Barnet, Will","Sylvan Cole, Jr.","Barnet, Will   Etchings, Lithographs, Woodcuts, Serigraphs, 1932-1972","Associated American Artists Gallery, NY",,1972,,9 3/8 x 7,fine condition,"compiled and edited by Sylvan Cole,Jr., foreword by Robert Doty; unpag., soft cover",
129,"Baskin, Leonard",Alan Fern and Judith O'Sullivan,"Baskin, Leonard, The Complete Prints, 1948-1983",,NY,1984,,12 x 9,fine condition,"intro. by Ted Hughes; (The Hanged Man and the Dragonfly), Imago Imprint;304 pp., hard cover, d.j. (slightly curled top back)",
130,"Baskin, Leonard",,"Baskin, Leonard, The Graphic Work 1950-1970",FAR Gallery,NY,1970,,11 x 8,very good condition,"intro. by Dale Roylance, 74illustrations, soft cover, catalogue designed by Leonard Baskin",
131,"Beckmann, Max",,"Beckmann, Max, Die Druckgraphik, 1901-1948",,,1962,,8 x 6,very good condition,"Radierungen, Lithographien, Holzschnitte,Badische Kunstverein, Karlsruhe; forewords by Ernst Holzinger, PeterBeckmann, Stephan Lackner, Benno Reifenberg; unpag., illustrated, soft cover",
133,"Bellows, George W",Lauris Mason,"George Bellows, The Lithographs",kto Press,"Millwood, NY",1977,,11 x 8,fine condition,"forewordby Charles H. Morgan; 262 pp., hard cover with tipped in portrait, goldletters; rare original edition",
135,Through the Looking Glass,"Carroll, Lewis",Through the Looking Glass,Cheshire House,"New York, NY",1931,,,,"F. Hughes, illust., silk binding",
1392,A Guide To Japanese Prints And Their Subject Matter.,"Stewart, Basil",A Guide To Japanese Prints And Their Subject Matter.,Dover Inc.,"New York, NY",1979,,,,,
136,"Berthon, Paul",Victor Arwas,Berthon & Grasset,,London,1978,Academy Editions,11 x 8,fine condition,"144 pp., hard cover, red cloth binding,gold letters; d.j.",
137,"Bishop, Isabel",Susan Teller,Etchings and Aquatints,A.A.A,NY,1981,,9 x 6,fine condition,"40 pp., soft cover",
138,Contemporary Art 1965-1990,"Kurtz, Bruce D",Contemporary Art 1965-1990,"Prentice-Hall, Inc","Englewood Cliffs, New Jersey",1992,,,,,
139,The Complete Guide to Prints and Printmaking Techniques and Materials,"Dawson, John",The Complete Guide to Prints and Printmaking Techniques and Materials,Quantum,,2003,,,,,
140,"Bonnard, Pierre",Francis Bouvet,The Complete Graphic Work of Pierre Bonnard,Rizzoli,NY,1981,,13 in. x 9 7/8 in.,fine condition,"intro. by AntoineTerrasse, 351 pp., 536 illustrations, 60 in color; hard cover, green cloth,white letters, d.j",
141,"Bradley, Will",Clarence Hornung ed.,"Bradley, Will, His Graphic Art, A Collection of his posters, illustrations, Typographic Designs & Decorations",Dover,NY,1974,,12 x 9,very good condition,"unpag., 89illlus., hard cover, rebound with cover of dust jacket laid onto front cover",
147,"Brouet, Auguste","Geffroy, Gustave","Auguste Brouet, Catalogue deson oeuvre grave, Estampes, Tomes I and II",Gaston Boutitie &Cie,Paris,1923,,11 x 9 x 1,fine condition,"No. 504 of edition of 1030copies, original etching loosely inserted in Vol. 1; each vol.; in burgundycloth clamshell box",
148,"Brown, Bolton",Clinton Adams,"Crayonstone, The Life and Work of Bolton Brown, with a catalogue of his lithographs",Univ. of  New Mexico Press,Albuquerque,1993,,10 x 9,as new,"285 pp., hardbound, d.j",
149,"Brussel-Smith, Bernard",,"Brussel-Smith, Bernard, 1914-1989, A Memorial Exhibition",Susan Teller Gallery,NY,1989,,11 x 8,as new,"an appreciationby Alan Tompkins, unpag., soft cover",
150,"Buhot, Felix","Burns, Catherine E.",Felix Buhot  Catalogue 5,,Oakland,1990,,,as new,,
1086,The Print Connoisseur (1921),"Truesdell, Winfred Porter, editor",The Print Connoisseur: A Quarterly Magazine for the Print Collector,Winfred Porter Truesdell,"Champlain, NY",June 1921,"Vol. 1, No. 4",,,E. de Goncourt on auctioning his possessionsBurr Etchings,
151,"Buhot, Felix",,"Buhot, Felix",R.S. Johnson International,Chicago,1963,,9 7/8 x 7,as new,"63 pp., soft cover",
152,"Buhot, Felix, Etchings catalogue No. 2",,"Buhot, Felix, Etchings   catalogue No. 2",William Weston Gallery,London,1980,,5 7/8 x 4,fine condition,"unpag., softcover, (front cover creased)",
153,"Buhot, Felix",Jay M. Fisher and Colles Baxter,"Peintre-Graveur, Prints, Drawings and Paintings",Baltimore Museum of Art,,1983,,11 x 8,fine condition,"contribution by Jean-Luc Dufresne; 126 pp., edition of 2500,stiff paper covers",
